GEO_ID,NAME,B27015_001E,B27015_001M,B27015_002E,B27015_002M,B27015_003E,B27015_003M,B27015_004E,B27015_004M,B27015_005E,B27015_005M,B27015_006E,B27015_006M,B27015_007E,B27015_007M,B27015_008E,B27015_008M,B27015_009E,B27015_009M,B27015_010E,B27015_010M,B27015_011E,B27015_011M,B27015_012E,B27015_012M,B27015_013E,B27015_013M,B27015_014E,B27015_014M,B27015_015E,B27015_015M,B27015_016E,B27015_016M,B27015_017E,B27015_017M,B27015_018E,B27015_018M,B27015_019E,B27015_019M,B27015_020E,B27015_020M,B27015_021E,B27015_021M,B27015_022E,B27015_022M,B27015_023E,B27015_023M,B27015_024E,B27015_024M,B27015_025E,B27015_025M,B27015_026E,B27015_026M
id,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,"Estimate!!Total!!Under $25,000","Margin of Error!!Total!!Under $25,000","Estimate!!Total!!Under $25,000!!With health insurance coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With private health insurance","Estimate!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!Under $25,000!!With health insurance coverage!!With public coverage","Estimate!!Total!!Under $25,000!!No health insurance coverage","Margin of Error!!Total!!Under $25,000!!No health insurance coverage","Estimate!!Total!!$25,000 to $49,999","Margin of Error!!Total!!$25,000 to $49,999","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$25,000 to $49,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$25,000 to $49,999!!No health insurance coverage","Margin of Error!!Total!!$25,000 to $49,999!!No health insurance coverage","Estimate!!Total!!$50,000 to $74,999","Margin of Error!!Total!!$50,000 to $74,999","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$50,000 to $74,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$50,000 to $74,999!!No health insurance coverage","Margin of Error!!Total!!$50,000 to $74,999!!No health insurance coverage","Estimate!!Total!!$75,000 to $99,999","Margin of Error!!Total!!$75,000 to $99,999","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$75,000 to $99,999!!With health insurance coverage!!With public coverage","Estimate!!Total!!$75,000 to $99,999!!No health insurance coverage","Margin of Error!!Total!!$75,000 to $99,999!!No health insurance coverage","Estimate!!Total!!$100,000 or more","Margin of Error!!Total!!$100,000 or more","Estimate!!Total!!$100,000 or more!!With health insurance coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With private health insurance","Estimate!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Margin of Error!!Total!!$100,000 or more!!With health insurance coverage!!With public coverage","Estimate!!Total!!$100,000 or more!!No health insurance coverage","Margin of Error!!Total!!$100,000 or more!!No health insurance coverage"
0500000US48329,"Midland County, Texas",160415,937,15209,4241,10220,2563,5221,2004,6943,1844,4989,2366,29734,5764,22857,5041,16169,4298,11087,3842,6877,2015,34877,7288,26714,5890,22314,5203,5580,2069,8163,3387,21552,5986,17276,4653,16263,4476,1733,1092,4276,2892,59043,6381,54791,6083,52400,6065,6602,1292,4252,2263
0500000US48339,"Montgomery County, Texas",553219,768,56193,8350,37914,5364,15213,3211,27351,4337,18279,4186,109587,12321,81125,9814,48214,8276,44288,6092,28462,6351,90324,11882,75659,9412,62248,8373,21151,3986,14665,4783,75956,11683,66839,11081,59360,10455,13836,3191,9117,3662,221159,15000,208658,14956,197403,14999,27821,4482,12501,6183
0500000US48347,"Nacogdoches County, Texas",60258,1497,18479,3799,14477,2971,6089,1345,10108,2597,4002,1573,14235,2806,11351,2330,6814,1679,6298,1537,2884,1402,8472,2798,6627,2113,5488,2007,2451,1028,1845,1134,10271,2717,7874,2129,6714,1998,2194,1114,2397,1563,8801,2444,8801,2444,8496,2386,1054,609,0,220
0500000US48355,"Nueces County, Texas",351072,1714,56037,5899,45137,4888,15423,2541,36360,4502,10900,2505,74393,8032,58303,6586,32960,4292,34645,4343,16090,3149,74147,7799,61671,6724,44395,5420,24264,4687,12476,2981,53202,6945,46728,6254,41598,5637,9042,2975,6474,2128,93293,8246,82108,7241,75297,6472,16104,2483,11185,2795
0500000US53053,"Pierce County, Washington",832453,3301,102495,7593,92355,7137,35244,4312,71529,5649,10140,2529,146979,10249,134552,9265,88324,7675,71844,6584,12427,2717,168687,11525,157192,10911,117983,8879,63300,6658,11495,2807,132332,9887,125599,9802,107396,8548,37194,3823,6733,2232,281960,13200,274063,12615,253613,11580,50592,4814,7897,2219
0500000US53057,"Skagit County, Washington",121539,674,12013,1856,10954,1692,3972,755,9223,1640,1059,453,25920,3557,23929,3264,14615,2270,14884,2358,1991,851,24938,4398,23867,4278,15649,2377,13265,3650,1071,539,18767,3581,18183,3613,15104,3181,6421,1758,584,398,39901,4741,37481,4724,33334,4128,8528,2756,2420,935
0500000US53061,"Snohomish County, Washington",773798,2367,61876,5575,57318,5138,24494,3313,45364,4582,4558,1320,110323,8732,100061,8505,64790,6360,57243,5059,10262,2232,125109,9435,112100,8595,84456,7036,44302,5101,13009,2939,127693,8988,122651,8663,105990,8026,29984,4097,5042,1764,348797,11770,338427,11167,315856,10992,51613,5500,10370,2213
0500000US53063,"Spokane County, Washington",481139,1866,69708,5821,65187,5556,24105,3533,50877,5059,4521,1326,110902,9833,102793,9143,61086,6305,60608,6926,8109,2115,101325,8944,96040,8372,70163,5785,41191,6340,5285,1553,77649,7236,73624,6893,61658,6002,23241,3836,4025,1120,121555,7678,118478,7292,106955,7058,26015,3232,3077,1364
0500000US53067,"Thurston County, Washington",267723,1680,28627,4858,26644,4668,10989,1758,20588,4343,1983,788,48661,5176,45255,4956,28602,3352,25263,4246,3406,2278,51887,6782,50469,6564,39801,5550,20079,3614,1418,949,49135,5325,45985,5311,40159,4805,14095,2488,3150,1734,89413,7140,86950,7027,80520,7039,18709,2787,2463,926
0500000US53073,"Whatcom County, Washington",211263,1241,28995,3816,25467,3108,11452,2221,18938,2572,3528,1742,41312,4980,38074,4818,23621,3413,21554,3516,3238,1319,42509,5711,38622,5174,28226,3922,16502,2920,3887,1689,33936,5431,32675,5075,27214,4378,10995,2529,1261,948,64511,6928,61795,6686,55828,6060,11894,2513,2716,1263
0500000US53077,"Yakima County, Washington",246146,1495,40244,4561,34139,3873,7777,1452,30844,3662,6105,1390,65046,6450,55417,5824,24558,3023,39771,5056,9629,2105,51115,7294,43765,6452,26390,4150,25936,5235,7350,2441,37332,5443,34388,5077,23462,3796,15010,3201,2944,1271,52409,6606,49892,6494,40877,4765,16164,4293,2517,1050
0500000US54003,"Berkeley County, West Virginia",112993,534,13557,3604,12156,3238,3789,1501,10478,3097,1401,832,25413,4424,24141,4262,15504,3032,14705,3191,1272,637,19851,4578,18314,4177,14666,3521,6962,2203,1537,996,20397,3932,19461,3623,17328,3377,4799,1690,936,619,33775,4718,33116,4669,29669,4408,7590,2203,659,654
0500000US54011,"Cabell County, West Virginia",91916,1119,22890,3819,20642,3654,6269,1437,17490,3350,2248,912,26606,4266,25024,4136,14723,2930,14743,3350,1582,895,14672,2597,14088,2548,10509,2297,6643,1821,584,392,11459,2754,11345,2749,10384,2536,1886,848,114,141,16289,3221,15507,3032,13669,2899,3981,1326,782,599
0500000US54033,"Harrison County, West Virginia",67466,297,10097,2389,9459,2291,2833,943,8657,2174,638,363,18521,3751,17600,3713,8739,1815,12620,3462,921,425,11206,2499,10855,2472,6762,1558,5597,2111,351,295,7433,1659,7392,1649,6646,1544,1695,725,41,56,20209,2765,20022,2727,18428,2624,4271,1292,187,180
0500000US54039,"Kanawha County, West Virginia",182513,1030,41294,5062,37753,4895,7885,1540,34988,4912,3541,1198,38437,4505,35526,4565,20014,2612,23818,4077,2911,1035,39555,5511,37576,5330,28837,4521,14014,2887,1979,877,26160,4635,25742,4624,21794,4056,7396,2199,418,336,37067,4708,35566,4546,32726,4450,7611,1644,1501,1263
0500000US54061,"Monongalia County, West Virginia",98801,1548,22264,3322,20467,3072,12298,2618,9772,1997,1797,814,17080,3218,14751,2627,10536,1863,6787,1955,2329,1103,19358,3323,18445,3214,15818,2816,4721,1466,913,575,10733,2705,10072,2347,9153,2070,3073,1278,661,719,29366,3732,28845,3661,26436,3564,4858,1013,521,379
0500000US54081,"Raleigh County, West Virginia",73520,1315,17315,2863,16205,2780,3544,1285,14452,2815,1110,629,16729,3574,15628,3321,6152,1419,13159,3109,1101,732,15071,3058,14172,2992,11515,2697,6032,1672,899,565,10875,3294,10548,3297,8776,2629,2900,1476,327,357,13530,3050,12707,2851,11376,2612,3484,1161,823,873
0500000US54107,"Wood County, West Virginia",84518,556,18685,3119,17033,2911,4087,1181,15106,2886,1652,675,19065,2913,18386,2793,10043,1766,12388,2407,679,398,17777,2876,16089,2605,12911,2146,7482,1767,1688,1004,11079,2725,10680,2551,9924,2369,2495,999,399,447,17912,2975,17654,2989,16712,2865,3324,1074,258,422
0500000US55009,"Brown County, Wisconsin",253449,1266,31800,3727,29785,3575,10661,1808,23772,3244,2015,731,50068,4892,45342,4591,31637,3689,21687,3171,4726,2129,50330,5204,46729,4977,39297,4595,14861,2553,3601,1264,44478,4360,43781,4350,40111,4017,8010,1818,697,469,76773,5941,75587,6172,72545,5814,6817,1574,1186,897
0500000US55025,"Dane County, Wisconsin",516904,2039,50644,5188,46723,4631,31103,3687,22424,3060,3921,1276,84340,7776,76851,6256,59001,4813,33393,3805,7489,2433,84715,6793,81912,6450,74183,6007,21141,2633,2803,984,81174,7032,79420,6881,73774,6679,15197,2055,1754,863,216031,8221,213693,8187,204847,8170,24109,2783,2338,889
0500000US55027,"Dodge County, Wisconsin",83971,862,9501,1836,8850,1810,3486,870,7702,1719,651,356,19791,2307,18828,2280,14167,2060,9172,1358,963,426,19905,2474,19646,2448,17127,2150,5828,1342,259,141,15607,2234,15112,2252,14297,2196,2539,693,495,327,19167,2544,18552,2475,17470,2418,2265,577,615,435
0500000US55035,"Eau Claire County, Wisconsin",98550,1071,16268,2704,15225,2599,8427,1642,10321,2146,1043,604,21415,3049,19417,3080,13863,2490,9834,1797,1998,981,18215,3300,16421,2722,13622,2268,6503,2194,1794,1709,17809,2552,17435,2478,15666,2447,3705,1062,374,486,24843,3679,23352,3538,22768,3499,2319,1038,1491,863
0500000US55039,"Fond du Lac County, Wisconsin",98686,988,11363,1691,10326,1642,5020,949,7969,1518,1037,660,20299,2940,18964,2624,11713,2045,12163,2201,1335,929,21008,2979,20211,2912,17677,2588,5472,1248,797,572,15179,2522,14678,2397,13611,2187,2315,833,501,297,30837,3106,30124,3063,28497,2900,2741,1094,713,374
0500000US55055,"Jefferson County, Wisconsin",81122,1030,8429,1551,7559,1381,3135,770,6327,1249,870,667,19169,2683,17915,2589,11883,1995,10305,2133,1254,841,15060,2289,14825,2291,12785,2019,5026,1547,235,190,15838,2453,15695,2432,14382,2388,2889,879,143,185,22626,2912,22194,2878,21035,2768,3069,912,432,283
0500000US55059,"Kenosha County, Wisconsin",163445,1400,26143,4075,23899,3958,8239,2060,19476,3314,2244,1056,27148,3901,24529,3361,15263,2203,14693,3010,2619,1169,28106,4105,25766,3668,21788,3094,9230,2246,2340,1325,29475,4671,27151,4550,22326,3902,6832,2446,2324,1339,52573,5380,51936,5370,48992,5045,6452,1702,637,367
0500000US55063,"La Crosse County, Wisconsin",112896,795,16640,2968,15797,2966,8018,1877,10150,2343,843,507,25944,3248,23785,3237,16599,2798,12522,2322,2159,1028,20611,3585,19716,3443,17209,2976,5850,1678,895,532,16695,2789,16022,2671,15499,2657,2233,634,673,418,33006,3563,32601,3552,31507,3576,4215,1415,405,348
0500000US55071,"Manitowoc County, Wisconsin",78389,579,9670,1698,9276,1695,4600,1102,7065,1320,394,271,20927,2889,19564,2662,12608,1999,10465,1631,1363,597,17605,2633,16786,2642,14875,2533,4039,895,819,455,13051,2092,13033,2089,12288,1949,1962,674,18,34,17136,2519,16916,2484,16369,2519,1675,637,220,161
0500000US55073,"Marathon County, Wisconsin",134014,735,16814,2479,15837,2481,7827,1367,12596,2302,977,493,31731,3795,27849,3401,18952,2660,14924,2846,3882,1415,25990,3460,24404,3379,20024,2625,9156,2306,1586,661,23060,3499,22370,3512,20515,3156,4115,1203,690,409,36419,3304,35138,3223,33234,2900,3990,1379,1281,753
